STATE/UT,Year,Population,Literates - Males,Literates - Females,Population - Males,Population - Females,Year,Rape,Kidnapping and Abduction,Dowry Deaths,Assault on women with intent to outrage her modesty,Insult to modesty of Women,Cruelty by Husband or his Relatives,Importation of Girls,Total Crimes against Women,Total Crimes In India
LAKSHADWEEP,2007,61300,24511,20172,31131,29519,2007,1,0,0,2,0,2,0,3916,
MADHYA PRADESH,2007,60385090,19672274,11920289,31443652,28904371,2007,3010,701,742,6772,780,3294,0,4455,
MAHARASHTRA,2007,96752500,37184963,26780980,50400596,46478031,2007,1451,967,436,3306,1039,7356,0,4822,
MANIPUR,2007,2294480,753466,557068,1161952,1131944,2007,20,83,0,70,0,15,0,5440,
MEGHALAYA,2007,2306540,614272,543603,1176087,1142735,2007,82,22,2,45,1,19,0,5747,
MIZORAM,2007,889690,350105,311340,459109,429464,2007,83,0,0,66,0,2,0,6618,
NAGALAND,2007,1990275,640201,492122,1047141,942895,2007,13,6,0,8,1,0,0,7488,
ODISHA,2007,36707900,11992333,7844722,18660570,18144090,2007,939,660,461,2775,241,728,0,8031,
PUDUCHERRY,2007,974820,378758,317609,486961,487384,2007,9,14,2,89,32,17,0,8703,
PUNJAB,2007,24289130,8442293,6314677,12985045,11373954,2007,519,545,133,427,48,971,0,9992,
RAJASTHAN,2007,56473300,18047157,9654853,29420011,27087177,2007,1238,1694,439,2477,28,8170,0,11552,
SIKKIM,2007,541902,189060,129275,288484,252367,2007,24,9,0,13,0,7,0,5270,
TAMIL NADU,2007,62111390,22809662,17714883,31400909,31004770,2007,523,1097,208,1540,875,1976,0,5668,
TRIPURA,2007,3191880,1150707,871392,1642225,1556978,2007,157,81,36,244,4,545,0,5474,
UTTAR PRADESH,2007,166053600,48901413,26817871,87565369,78632552,2007,1648,3363,2076,2522,2882,7650,0,6268,
UTTARAKHAND,2007,8489100,3008875,2096907,4325924,4163425,2007,117,227,70,146,63,463,0,6425,
WEST BENGAL,2007,80221300,27452426,19743975,41465985,38710212,2007,2106,1590,451,2281,99,9900,5,7301,
Andaman and Nicobar Islands,2008,356650,146831,106304,192972,163180,2008,12,13,2,24,3,26,0,7601,
ANDHRA PRADESH,2008,75728400,23444788,16489535,22807968,22414768,2008,1257,1396,556,4730,3551,10306,0,7906,
ARUNACHAL PRADESH,2008,1098328,303281,181504,579941,518027,2008,42,47,0,72,1,13,0,7703,
ASSAM,2008,26638600,8188697,5826657,13777037,12878491,2008,1438,1789,103,1272,2,3478,0,9110,
BIHAR,2008,82879910,20644376,10465201,43243795,39754714,2008,1302,1789,1210,999,21,1992,22,11074,
CHANDIGARH,2008,901080,382686,260559,506938,393697,2008,20,42,3,19,2,49,0,10714,
CHHATTISGARH,2008,20834530,6711395,4461754,10474218,10359585,2008,978,216,106,1621,125,897,0,11013,
Dadra and Nagar Haveli,2008,220963,72149,31755,121666,98824,2008,6,11,0,4,0,4,0,11061,
Daman and Diu,2008,158080,70992,36608,92512,65692,2008,0,1,0,2,1,5,0,0,
DELHI,2008,13851503,5700847,3963917,7607234,6243273,2008,466,1136,129,611,130,1387,0,2,
GOA,2008,1348900,541032,444530,687248,660420,2008,30,28,2,32,12,12,0,4,
GUJARAT,2008,50597200,17833273,11994477,26385577,24285440,2008,374,1119,27,828,122,6094,0,1,
HARYANA,2008,21083900,7480209,4613468,11363953,9780611,2008,631,644,302,435,605,2435,0,0,
